,Movie_Titles,genres,Cast
45,Nashville,"['Drama', 'Comedy', 'Music']","['David Arkin', 'Ronee Blakley', 'Barbara Baxley', 'Timothy Brown', 'Allen Garfield', 'Shelley Duvall', 'Barbara Harris', 'Keith Carradine', 'Ned Beatty', 'Robert DoQui', 'Henry Gibson', 'Scott Glenn', 'Geraldine Chaplin', 'Jeff Goldblum', 'Karen Black']"
46,Ratatouille,"['Fantasy', 'Comedy', 'Animation', 'Family']","['Will Arnett', 'Brian Dennehy', 'Tony Fucile', 'Lou Romano', 'John Ratzenberger', 'Ian Holm', 'Janeane Garofalo', 'Patton Oswalt', 'Peter Sohn', ""Peter O'Toole"", 'Brad Garrett', 'Julius Callahan', 'Teddy Newton', 'Jake Steinfeld', 'James Remar']"
47,Parasite,"['Drama', 'Thriller', 'Comedy']","['Seong-Bong Ahn', 'Jeong Esuz', 'JaeWook Park', 'Yeo-Jeong Cho', 'Hye-jin Jang', 'Jung Ik-Han', 'Andreas Fronk', 'Jung Ziso', 'Jung Hyeon-jun', 'So-dam Park', 'Hyun Seung-min', 'Jeong-eun Lee', 'Keun-rok Park', 'Ji-hye Lee', 'Pak Hyo-Shin', 'Woo-sik Choi', 'Ji-rye Lee', 'Kang-ho Song', 'Kang Echae', 'Hyae Jin Chang', 'Myeong-hoon Park', 'Yeo-jeong Jo', 'Seo Joon Park', 'Seon-gyun Lee', 'Lee Joo-Hyung']"
48,Rocks,['Drama'],"['Layo-Christina Akinlude', 'Sharon D Clarke', 'Afi Okaidja', 'Bukky Bakray', ""D'angelou Osei Kissiedu"", 'Shaneigha-Monik Greyson', 'Tawheda Begum', 'Shola Adewusi', 'Brie-Morgan Appleton', 'Anastasia Dymitrow', 'Sarah Niles', 'Kosar Ali', 'Mohammad Amiri', 'Islah Abdur-Rahman', 'Ruby Stokes']"
49,The Grapes of Wrath,"['Drama', 'History']","['O.Z. Whitehead', 'Russell Simpson', 'John Carradine', 'Zeffie Tilbury', 'Shirley Mills', 'John Qualen', 'Roger Imhof', 'Charley Grapewin', 'Henry Fonda', 'Frank Sully', 'Jane Darwell', 'Frank Darien', 'Darryl Hickman', 'Eddie Quillan', 'Dorris Bowdon']"
50,Children of Paradise (1945),"['Drama', 'Romance']","['Arletty', 'Habib Benglia', 'Fabien Loris', 'Pierre Brasseur', 'Gaston Modot', 'Marcelle Monthil', 'Marcel Pérès', 'Pierre Renoir', 'Louis Florencie', 'Jean-Louis Barrault', 'Jane Marken', 'Palau', 'Rognoni', 'Etienne Decroux', 'María Casares']"
51,Mean Streets,"['Drama', 'Thriller', 'Crime']","['Robert Carradine', 'Lois Walden', 'Amy Robinson', 'Richard Romanus', 'Robert De Niro', 'David Proval', 'Harry Northup', 'Lenny Scaletta', 'Victor Argo', 'Cesare Danova', 'Harvey Keitel', 'David Carradine', 'Murray Moston', 'George Memmoli', 'Jeannie Bell']"
52,The Lady Eve,"['Comedy', 'Romance']","['Abdullah Abbas', 'Norman Ainsley', 'Eugene Pallette', 'Janet Beecher', ""Martha O'Driscoll"", 'Eric Blore', 'Melville Cooper', 'Robert Greig', 'Mary Akin', 'Dora Clement', 'Henry Fonda', 'Barbara Stanwyck', 'William Demarest', 'Luis Alberni', 'Charles Coburn']"
53,Gravity,"['Sci-Fi', 'Drama', 'Mystery', 'Thriller']","['Amy Warren', 'Orto Ignatiussen', 'George Clooney', 'Basher Savage', 'Paul Sharma', 'Eric Michels', 'Janis Ahern', 'Sandra Bullock', 'Ed Harris']"
54,Fantasia,"['Fantasy', 'Music', 'Animation', 'Family']","['Tim Matheson', 'Leopold Stokowski', 'Walt Disney', 'Hugh Douglas', 'James MacDonald', 'Paul J. Smith', 'Corey Burton', 'Deems Taylor', 'Julietta Novis']"
